model,seed,precision_hate,recall_hate,f1_hate,precision_macro,recall_macro,f1_macro,accuracy,roc_auc,tn,fp,fn,tp
beto_base,none,0.188,0.04162976085031001,0.0681653372008702,0.47886912108959356,0.4942441997968828,0.4586630184067504,0.7403515861790261,0.5147640269153538,3617,203,1082,47
beto,42,0.6523500810372771,0.7130203720106288,0.6813372831146848,0.7825680418645335,0.8003583535445815,0.7907018200576742,0.8478480501111335,0.8940534875416786,3391,429,324,805
beto,123,0.6941923774954628,0.6775907883082374,0.6857911250560287,0.7997865968579472,0.7946854465101396,0.7971801588499134,0.8583552232774297,0.8865816248452274,3483,337,364,765
beto,2024,0.6851683348498635,0.66696191319752,0.6759425493716338,0.7937529985937629,0.7881929984835767,0.7909047818566122,0.8541119418064256,0.8930201633285261,3474,346,376,753
mbert,42,0.5637540453074433,0.7714791851195748,0.6514584891548242,0.7439804304093034,0.7975196972718293,0.7612220463492836,0.8116791270963831,0.8764314432917977,3146,674,258,871
mbert,123,0.5910079767947788,0.7218777679362267,0.6499202551834131,0.7515263973609748,0.7871168944393175,0.7655555267797987,0.8225904223075369,0.8715334424663441,3256,564,314,815
mbert,2024,0.6721789883268483,0.6120460584588131,0.6407046824292999,0.7802363954641127,0.7619130815854275,0.7702942091903637,0.8434027076177005,0.8629119732515917,3483,337,438,691
xlmr,42,0.6311284046692607,0.7183348095659876,0.671913835956918,0.7721690058280801,0.7971255199662399,0.7830440371660592,0.8399676702364114,0.8853141129387541,3346,474,318,811
xlmr,123,0.6252964426877471,0.7006200177147919,0.6608187134502924,0.7667741713981624,0.788268124040642,0.7763048791132059,0.8359264497878359,0.8866619674548667,3346,474,338,791
xlmr,2024,0.6251908396946565,0.7254207263064659,0.6715867158671587,0.7700013005837942,0.7984433474464268,0.7820998333324264,0.8381491210345524,0.8923151656240291,3329,491,310,819
